Title,Link
"1.9_Indian Accounting Standard, US GAAP & IFRS- overview","https://youtu.be/RA1Pqi0N9SE ,https://www.youtube.com/watch?v=7B96MhOGaqE&amp;t=157s ,"
1.10_Accounting Cycle,"https://youtu.be/GliFucsbYm8 ,https://www.youtube.com/watch?v=RrtLr6BZets ,"
1.11_Accounting Equation-Part 1,"https://youtu.be/DhykKmWJY2U ,https://www.youtube.com/watch?v=56xscQ4viWE&amp;t=1s ,"
1.12_Accounting Equation-Part 2,"https://youtu.be/D_V60tWsM_A ,https://www.youtube.com/watch?v=_w-l_ExhJ5s&amp;t=157s ,"
1.13_Recording of transactions & Rules of Debit & Credit,"https://youtu.be/APhp23an1ZE ,https://www.youtube.com/watch?v=CAVaV-96eBk ,"
1.14_Journal Entry part-1,"https://youtu.be/EWS-No1O9mE ,https://www.youtube.com/watch?v=Y-_Q3rANyxU&amp;list=PL5zKSeS09l339nB6ujJPQ9Rsv99_b-aTb&amp;index=4 ,"
1.15_Journal Entry part-2,"https://youtu.be/fgaq48L3P_w ,https://www.youtube.com/watch?v=w2FmuagHkF4 ,"
1.16_Ledger Posting,"https://youtu.be/r5lw7Ri3peo ,https://www.youtube.com/watch?v=cUacqKK0EVM ,"
1.17_Subsidiary Books,"https://youtu.be/WyRsGco7t0U ,https://www.youtube.com/watch?v=b6Z_bbTVO4k ,"
"1.18_Trial Balance- Meaning, Benefit & format","https://youtu.be/kpPAMmkFNgs ,https://www.youtube.com/watch?v=3_PfoTzSCQE&amp;list=PL5zKSeS09l339nB6ujJPQ9Rsv99_b-aTb&amp;index=5 ,"
1.19_Preparation of Trial Balance,"https://youtu.be/MkIOm3KNWH8 ,https://www.youtube.com/watch?v=x7UOZysKImE ,"
2.1_Financial Statements- Meaning. Characteristics,"https://youtu.be/O3_bAlsUDGA ,https://www.youtube.com/watch?v=-e54zhT6z_E ,"
"2.2_Financial Statements- Components, its users","https://youtu.be/Y2FphlKq83I ,https://www.youtube.com/watch?v=4sGEtZcLdx8 ,"
2.3_Income Statement Part 1,"https://youtu.be/ecDxQMFm1wk ,https://www.youtube.com/watch?v=hrSUq4wcd0g ,"
